Bodenbearbeitung_Massnahme_ID,Massnahme,Bemerkungen_ID
1,Eggen,113
2,Eggen+Striegeln,
3,Fräsen,55
4,Grubbern,40
5,Grubbern,48
6,Grubbern,49
7,Grubbern,50
8,Grubbern,51
9,Grubbern,53
10,Grubbern,69
11,Grubbern,70
12,Grubbern,71
13,Grubbern,72
14,Grubbern,73
15,Grubbern,74
16,Grubbern,75
17,Grubbern,76
18,Grubbern,77
19,Grubbern,78
20,Grubbern,88
21,Grubbern,118
22,Grubbern,155
23,Grubbern,156
24,Grubbern,178
25,Grubbern+Kruemeln+Ebnen,14
26,Grubbern+Kruemeln+Ebnen,112
27,Grubbern+Kruemeln+Ebnen,113
28,Grubbern+Kruemeln+Ebnen,114
29,Grubbern+Kruemeln+Ebnen,164
30,Grubbern+Kruemeln+Ebnen,165
31,Grubbern+Kruemeln+Ebnen,169
32,Herbstfurche,19
33,Herbstfurche,20
34,Herbstfurche,41
35,Herbstfurche,67
36,Herbstfurche,136
37,Herbstfurche,167
38,Herbstfurche,168
39,Häufeln,30
40,Häufeln,140
41,Häufeln,174
42,Lochen,22
43,Pflanzlöcher anlegen,79
44,Pflügen,63
45,Saatfurche,39
46,Saatfurche,134
47,Saatfurche,135
48,Saatfurche,159
49,Schaelen,156
50,Schaelen,158
51,Scheiben,15
52,Scheiben,120
53,Scheiben,156
54,Scheiben,157
55,Schleppen,
56,Steinesammeln,
57,Stoppelbearbeitung,17
58,Striegeln,106
59,Eggen,
60,Fräsen,
61,Grubbern,
62,Grubbern+Kruemeln+Ebnen,
63,Häufeln,
64,Herbstfurche,
65,Lochen,
66,Pflanzlöcher anlegen,
67,Pflügen,
68,Saatfurche,
69,Schaelen,
70,Scheiben,
71,Stoppelbearbeitung,
72,Striegeln,
