Pruefglied_ID,Faktor_ID,Pruefglied_Kurzbezeichnung,Pruefglied_verbal
1,1,0,"Kontrolle. Keine mineralische und organische Duengung, nur Erhaltungskalkung."
2,1,11,"mineralisch (Stufe 1). Stufen mineralischer Düngung angepasst an Fruchtart. Differenzierung der PK-Düngung bis 1993, ab 1994 über alle Varianten einheitlich."
3,1,12,"mineralisch (Stufe 2). Stufen mineralischer Düngung angepasst an Fruchtart. Differenzierung der PK-Düngung bis 1993, ab 1994 über alle Varianten einheitlich."
4,1,13,"mineralisch (Stufe 3). Stufen mineralischer Düngung angepasst an Fruchtart. Differenzierung der PK-Düngung bis 1993, ab 1994 über alle Varianten einheitlich."
5,1,14,"mineralisch (Stufe 4). Stufen mineralischer Düngung angepasst an Fruchtart. Differenzierung der PK-Düngung bis 1993, ab 1994 über alle Varianten einheitlich."
6,1,15,"mineralisch (Stufe 5). Stufen mineralischer Düngung angepasst an Fruchtart. Differenzierung der PK-Düngung bis 1993, ab 1994 über alle Varianten einheitlich."
7,1,21,"mineralisch (Stufe 1) und 1,2 t/ha Trm. p.a. Rindermist (1977 ... 81 Feststoffgülle) = 0,7 GV je ha. 1967 bis 1982 ca. 1 t/ha Trm. Mist je Jahr, ab 1983 1,2 t/ha Mist Trm. je Jahr"
8,1,22,"mineralisch (Stufe 2) und 1,2 t/ha Trm. p.a. Rindermist (1977 ... 81 Feststoffgülle) = 0,7 GV je ha. 1967 bis 1982 ca. 1 t/ha Trm. Mist je Jahr, ab 1983 1,2 t/ha Mist Trm. je Jahr"
9,1,23,"mineralisch (Stufe 3) und 1,2 t/ha Trm. p.a. Rindermist (1977 ... 81 Feststoffgülle) = 0,7 GV je ha. 1967 bis 1982 ca. 1 t/ha Trm. Mist je Jahr, ab 1983 1,2 t/ha Mist Trm. je Jahr"
10,1,24,"mineralisch (Stufe 4) und 1,2 t/ha Trm. p.a. Rindermist (1977 ... 81 Feststoffgülle) = 0,7 GV je ha. 1967 bis 1982 ca. 1 t/ha Trm. Mist je Jahr, ab 1983 1,2 t/ha Mist Trm. je Jahr"
11,1,25,"mineralisch (Stufe 5) und 1,2 t/ha Trm. p.a. Rindermist (1977 ... 81 Feststoffgülle) = 0,7 GV je ha. 1967 bis 1982 ca. 1 t/ha Trm. Mist je Jahr, ab 1983 1,2 t/ha Mist Trm. je Jahr"
12,1,31,"mineralisch (Stufe 1) und 3,2 t/ha Trm. p.a. Rindermist (1977 ... 81 Feststoffgülle) = 1,7 GV je ha. 1967 bis 1982 ca. 3 t/ha Trm. Mist je Jahr, ab 1983 3,2 t/ha Mist Trm. je Jahr"
13,1,32,"mineralisch (Stufe 2) und 3,2 t/ha Trm. p.a. Rindermist (1977 ... 81 Feststoffgülle) = 1,7 GV je ha. 1967 bis 1982 ca. 3 t/ha Trm. Mist je Jahr, ab 1983 3,2 t/ha Mist Trm. je Jahr"
14,1,33,"mineralisch (Stufe 3) und 3,2 t/ha Trm. p.a. Rindermist (1977 ... 81 Feststoffgülle) = 1,7 GV je ha. 1967 bis 1982 ca. 3 t/ha Trm. Mist je Jahr, ab 1983 3,2 t/ha Mist Trm. je Jahr"
15,1,34,"mineralisch (Stufe 4) und 3,2 t/ha Trm. p.a. Rindermist (1977 ... 81 Feststoffgülle) = 1,7 GV je ha. 1967 bis 1982 ca. 3 t/ha Trm. Mist je Jahr, ab 1983 3,2 t/ha Mist Trm. je Jahr"
16,1,35,"mineralisch (Stufe 5) und 3,2 t/ha Trm. p.a. Rindermist (1977 ... 81 Feststoffgülle) = 1,7 GV je ha. 1967 bis 1982 ca. 3 t/ha Trm. Mist je Jahr, ab 1983 3,2 t/ha Mist Trm. je Jahr"
17,1,41,"mineralisch (Stufe 1) und 4 t/ha Trm. Stroh nach Getreide. Bis 1981 5 t/ha Frischmassse, ab 1983 i.d.R. 4 t/ha Trm."
18,1,42,"mineralisch (Stufe 2) und 4 t/ha Trm. Stroh nach Getreide. Bis 1981 5 t/ha Frischmassse, ab 1983 i.d.R. 4 t/ha Trm."
19,1,43,"mineralisch (Stufe 3) und 4 t/ha Trm. Stroh nach Getreide. Bis 1981 5 t/ha Frischmassse, ab 1983 i.d.R. 4 t/ha Trm."
20,1,44,"mineralisch (Stufe 4) und 4 t/ha Trm. Stroh nach Getreide. Bis 1981 5 t/ha Frischmassse, ab 1983 i.d.R. 4 t/ha Trm."
21,1,45,"mineralisch (Stufe 5) und 4 t/ha Trm. Stroh nach Getreide. Bis 1981 5 t/ha Frischmassse, ab 1983 i.d.R. 4 t/ha Trm."
