Saat_Pflanzgut_ID,Sorte_ID,Anbaustufe_ID,Keimfaehigkeit,Tausendkornmasse,Beize_ID,Reinheit,Bemerkungen_ID
1,37,,,,,99,
2,29,,,,,99,
3,26,,,,,99,
4,32,,,,,99,
5,25,,,,,99,
6,19,,,,,99,
7,38,,,,,99,
8,9,,,,,99,
9,40,,,,,99,
10,34,,,,,99,
11,43,,,,,99,
12,16,,79,,,99,
13,30,,,,,99,
14,14,,,,,99,
15,8,,,,,99,
16,1,,,,,99,
17,2,,,,,99,
18,11,,,,,99,
19,35,,,,,99,
20,17,,,,,99,
21,12,4,97,43,5,99,
22,10,1,90,,6,99,
23,15,2,94,47,2,99,
24,1,,,,7,99,
25,27,5,93,41,3,99,
26,31,,,,,99,
27,41,5,,,1,99,
28,36,5,,,5,99,
29,22,5,92,34,4,99,
30,5,5,,,6,99,
31,6,5,,,4,99,
32,1,3,,,6,99,
33,18,3,99,50.75,6,99,
34,23,5,95,212.5,4,99,
35,28,5,99,59.15,4,99,
36,7,5,,,4,99,
37,13,5,91.3,31.6,4,99,
38,20,5,89,7.1,6,99,
39,3,5,86,26.4,4,99,
40,21,5,,,6,99,
41,39,5,93,44.9,4,99,
42,33,5,92,239.4,6,99,
43,4,5,95,56,4,99,
44,42,5,,,4,99,
45,24,5,94,35,4,99,
46,20,5,76,4.6,4,99,
47,24,5,91,28.5,4,99,
48,21,5,,,6,,
