Fruchtfolge_ID,Versuchsjahr,Kultur_ID
1,1985,6
2,1985,5
3,1985,4
4,1986,6
5,1986,5
6,1986,4
7,1987,6
8,1987,5
9,1987,4
10,1988,6
11,1988,5
12,1988,4
13,1989,6
14,1989,5
15,1989,4
16,1990,6
17,1990,5
18,1990,4
19,1991,6
20,1991,5
21,1991,4
22,1992,6
23,1992,3
24,1992,4
25,1993,6
26,1993,5
27,1993,4
28,1994,6
29,1994,5
30,1994,4
31,1995,6
32,1995,5
33,1995,4
34,1996,6
35,1996,5
36,1996,4
37,1997,6
38,1997,5
39,1997,4
40,1997,2
41,1997,3
42,1998,6
43,1998,5
44,1998,4
45,1999,6
46,1999,5
47,1999,4
48,2000,6
49,2000,5
50,2000,4
51,2001,6
52,2001,5
53,2001,4
54,2001,3
55,2002,6
56,2002,5
57,2002,4
58,2003,6
59,2003,5
60,2003,4
61,2004,6
62,2004,5
63,2004,4
64,2005,6
65,2005,5
66,2005,4
67,2006,6
68,2006,5
69,2006,4
70,2007,6
71,2007,5
72,2007,4
73,2008,6
74,2008,5
75,2008,4
76,2009,1
77,2009,5
78,2009,4
